Datafile FullScanSumBP FullScanMaxBP ZoomScanSumBP ZoomScanMaxBP SumTIC MaxTIC
FIT_HPPP_Bound_060622_04.417.417.2.dta 1511 1511 0 0 522 522
FIT_HPPP_Bound_060622_04.417.417.3.dta 1511 1511 0 0 522 522
FIT_HPPP_Bound_060622_04.418.418.1.dta 8668 8668 0 0 539 539
FIT_HPPP_Bound_060622_04.421.422.1.dta 1098534 549267 0 0 212643 141794
FIT_HPPP_Bound_060622_04.423.423.2.dta 1711 1711 0 0 293 293
FIT_HPPP_Bound_060622_04.423.423.3.dta 1711 1711 0 0 293 293
FIT_HPPP_Bound_060622_04.425.425.1.dta 0 0 0 0 135090 135090
FIT_HPPP_Bound_060622_04.426.426.2.dta 1775 1775 0 0 883 883
FIT_HPPP_Bound_060622_04.426.426.3.dta 1775 1775 0 0 883 883
FIT_HPPP_Bound_060622_04.427.427.2.dta 0 0 0 0 101 101
FIT_HPPP_Bound_060622_04.427.427.3.dta 0 0 0 0 101 101
FIT_HPPP_Bound_060622_04.429.429.1.dta 0 0 0 0 126898 126898
FIT_HPPP_Bound_060622_04.430.430.1.dta 357962 357962 0 0 73702 73702
FIT_HPPP_Bound_060622_04.431.431.2.dta 3148 3148 0 0 912 912
FIT_HPPP_Bound_060622_04.431.431.3.dta 3148 3148 0 0 912 912
FIT_HPPP_Bound_060622_04.433.433.1.dta 285294 285294 0 0 72562 72562
FIT_HPPP_Bound_060622_04.434.434.1.dta 160981 160981 0 0 21046 21046
FIT_HPPP_Bound_060622_04.435.435.1.dta 2630 2630 0 0 896 896
FIT_HPPP_Bound_060622_04.437.437.1.dta 162867 162867 0 0 20492 20492
FIT_HPPP_Bound_060622_04.438.438.1.dta 75400 75400 0 0 9393 9393
FIT_HPPP_Bound_060622_04.441.441.1.dta 90937 90937 0 0 10395 10395
FIT_HPPP_Bound_060622_04.442.442.1.dta 54091 54091 0 0 6606 6606
FIT_HPPP_Bound_060622_04.443.443.2.dta 2116 2116 0 0 1208 1208
FIT_HPPP_Bound_060622_04.443.443.3.dta 2116 2116 0 0 1208 1208
FIT_HPPP_Bound_060622_04.445.445.1.dta 168679 168679 0 0 58728 58728
FIT_HPPP_Bound_060622_04.446.446.1.dta 114539 114539 0 0 21281 21281
FIT_HPPP_Bound_060622_04.447.447.1.dta 49420 49420 0 0 6450 6450
FIT_HPPP_Bound_060622_04.449.449.1.dta 170753 170753 0 0 57871 57871
FIT_HPPP_Bound_060622_04.450.450.1.dta 117434 117434 0 0 20569 20569
FIT_HPPP_Bound_060622_04.451.453.1.dta 87836 49287 0 0 4850 2557
